,rcdts,total_incidents
8080,310453040262008,0.0
3590,070161440022004,4.0
3990,150162990252182,10.0
3875,130580010032001,16.0
8345,350502890042002,2.0
4822,260290040261001,6.0
4972,310451010222009,0.0
210,050160280022002,1.0
6015,56099365U262016,9.0
917,150162990252108,1.0
5460,440630120261003,33.0
7884,280372230261003,0.0
5017,310453000262016,2.0
5598,480721500252034,292.0
1222,150162990252829,48.0
4431,170540270022003,0.0
7675,190222040262005,0.0
2273,400070420262001,0.0
5685,500820900041002,234.0
744,090101160222012,26.0
7142,150162990252381,2.0
8785,510840110262001,0.0
4245,150162990252634,81.0
643,070161590022006,6.0
6851,120400010262011,0.0
8081,31045900025201C,0.0
6671,070161590022006,3.0
4932,310450460222011,23.0
1494,190220680022002,2.0
7509,190220070022002,3.0
7193,150162990252455,5.0
6848,120170040262002,0.0
5732,500821890222008,26.0
2544,490810400221004,106.0
1679,211000050262006,95.0
4014,150162990252214,20.0
6983,150162990252145,3.0
120,041012050251010,1800.0
5327,350590070261001,50.0
3138,04101205025202C,0.0
812,120170030262002,0.0
3837,120400010262011,0.0
7183,150162990252437,1.0
3907,150162990252054,11.0
4977,310451290221006,21.0
2718,530901080021002,36.0
6234,050160280022006,0.0
5609,480723090262002,13.0
4595,190220930042011,5.0
666,070161670022003,0.0
1397,190220040021009,92.0
8547,450670050262005,0.0
8223,340490700022004,0.0
5361,390740250261002,81.0
3539,070161275022003,7.0
1010,150162990252257,6.0
8790,510840160261001,9.0
3651,070161580022005,40.0
1036,150162990252299,5.0
3956,150162990252128,198.0
6881,130410800022002,1.0
6748,090100040261003,111.0
8259,340491020042003,0.0
7654,190222030262003,0.0
7449,170540270021001,0.0
3681,070161670022004,0.0
7593,190220660022002,0.0
8594,470980060261001,0.0
7634,190222000262008,0.0
4545,190220480021003,9.0
2869,07016113A022002,2.0
8479,440630020032001,2.0
2006,320461110252015,106.0
5694,500821050021001,53.0
8975,560991590022002,0.0
2615,500821180022010,8.0
8840,530900860022010,0.0
2148,340491020042005,0.0
5880,540925120261001,25.0
6862,130140030262006,28.0
22,010690110262003,0.0
1781,280372280262004,10.0
7800,240322010042003,15.0
1796,300390860032001,19.0
1573,190222040262007,15.0
2099,340490600262018,19.0
355,060160830021003,172.0
4615,190222000262008,0.0
177,050160150042023,3.0
8127,330482050261021,21.0
3674,070161630022002,251.0
6218,050160250022002,4.0
574,070161440021002,408.0
4043,150162990252258,1.0
3920,150162990252079,6.0
2511,480722650261001,74.0
2247,390550090262001,24.0
8577,470712310041002,18.0
3934,150162990252096,3.0
6193,050160150042010,0.0
3451,060161000022007,0.0
8735,500821180022010,1.0
4494,190220100022003,0.0
4984,310451290222012,0.0
6311,050160590042020,2.0
834,130140620022001,0.0
4502,190220130022004,0.0
6202,050160210041007,45.0
2807,560990880022002,24.0
6740,080892020261002,15.0
7948,310450460221045,112.0
8832,530900760022004,17.0
376,060160880022006,65.0
6903,130585010261002,4.0
7313,15016299025283C,24.0
8021,310451310222012,13.0
8867,531020020042001,16.0
7952,310450460222009,2.0
6279,050160540042010,0.0
8350,350590070262001,0.0
5630,490810290022001,3.0
6938,150162990252082,9.0
3639,070161530022002,146.0
3450,060161000022006,0.0
6911,15016299025049C,0.0
3122,041011400042001,1.0
8190,340490560022001,12.0
936,150162990252136,13.0
2994,56099365U261006,129.0
8444,410570080262007,0.0
6836,110870210262001,0.0
2271,390741000262003,8.0
1223,150162990252837,36.0
2363,440630030031001,18.0
6891,130580070042001,0.0
6534,070161230022008,0.0
2008,320462560042001,5.0
7491,170640870252003,0.0
1591,190222050261001,25.0
5177,340490600262005,1.0
7229,150162990252501,6.0
6443,060160980022003,2.0
4073,150162990252303,1.0
4937,310450460222017,15.0
4235,15016299025259C,29.0
6946,150162990252093,0.0
1446,190220440021009,8.0
5539,470522720262003,1.0
1776,280372250262003,0.0
5231,340490960042003,1.0
4839,260621030262002,1.0
7364,150162990252943,41.0
1933,310453000262022,102.0
5000,310451310222013,27.0
1683,240320010262005,0.0
6955,150162990252103,17.0
19,010690010262005,0.0
449,060161020022003,0.0
3915,150162990252069,30.0
8449,410570090262013,2.0
1091,150162990252385,4.0
6812,110213050262003,17.0
7397,160194260262001,15.0
7769,211000010262003,2.0
6855,120510200262007,10.0
8580,470712310042005,0.0
894,150162990252080,37.0
314,050160650041002,15.0
3261,050160540042002,9.0
4081,150162990252315,12.0
115,041011400042002,38.0
1077,150162990252368,27.0
2240,390550020261001,22.0
2955,51084003A262005,0.0
2276,400310100262003,2.0
4308,150162990252867,53.0
2258,390550610252016,231.0
6362,050160720022002,0.0
8901,540921180242019,0.0
1793,300020010222004,18.0
213,050160290022001,0.0
4421,170534260042001,0.0
3924,150162990252083,16.0
6973,150162990252130,0.0
2203,350500440021005,243.0
1536,190222000262013,0.0
6079,030250400261001,144.0
4266,150162990252743,2.0
1007,150162990252254,10.0
1144,150162990252465,16.0
1209,150162990252799,28.0
1449,190220440022009,0.0
7288,150162990252773,12.0
8096,320460010261002,47.0
7724,200933480261003,0.0
4752,211000020262003,7.0
1723,240473080262013,0.0
322,050160650042015,3.0
3894,130950110042001,0.0
3943,150162990252107,43.0
5287,340492200262007,0.0
5529,450791390262002,15.0
1761,280060940042001,0.0
282,050160590042006,2.0
2294,400560090262005,6.0
5897,56099033C042006,3.0
3047,010860020261001,15.0
7099,150162990252319,3.0
6070,030110040261001,2.0
8146,330943040262001,5.0
1490,190220660022002,0.0
6121,041011220222011,26.0
6090,030262030262009,18.0
263,050160540042022,10.0
5100,320462590042001,44.0
4743,210610010262002,6.0
2262,390550610252032,105.0
4147,150162990252405,29.0
3950,150162990252119,34.0
6507,070161110022001,0.0
8221,340490700021005,16.0
968,150162990252191,30.0
1946,310453020262009,7.0
1966,310453040262006,0.0
7126,150162990252362,5.0
1463,190220480022002,3.0
5934,560991140022002,0.0
6678,070161610022006,13.0
2149,340491030021001,11.0
646,070161600022004,24.0
2812,560990920021001,4.0
4183,15016299025245C,28.0
1319,160194300262007,11.0
4827,260290660252009,0.0
7208,150162990252474,16.0
4213,150162990252500,3.0
8160,340490240042001,2.0
3864,130410120042001,0.0
4199,15016299025247C,723.0
4721,200970050262006,0.0
4391,160194280262009,16.0
8461,410570100262023,9.0
5532,470521700221001,249.0
3903,150162990252048,16.0
2716,530900980022001,18.0
7754,210281960261001,5.0
6840,120130250262004,6.0
2753,531020690022002,0.0
6814,110213050262005,3.0
94,040042000262004,0.0
2377,440630190241001,17.0
1410,190220100022003,0.0
4790,240471150261001,229.0
6708,070161700022012,48.0
7444,170534290042005,33.0
6683,070161620022005,2.0
4582,190220680022006,17.0
109,041011310042003,14.0
8388,390741000262003,0.0
7404,160194280261010,234.0
7121,150162990252356,0.0
5577,470981450042001,5.0
3608,070161480021003,45.0
8429,410570050262008,11.0
1296,160194250262002,0.0
2023,330482760262001,9.0
7412,160194280262012,16.0
6315,050160620042002,1.0
8218,340490670052005,1.0
6144,04101205025201C,0.0
7505,190220040022008,1.0
7186,150162990252444,6.0
6478,060161030022005,0.0
773,110180770261001,31.0
4433,170540270022006,9.0
1617,200830040261002,58.0
204,050160260022001,8.0
2848,560992020222005,23.0
3287,050160590041010,7.0
6451,060160990022008,58.0
105,041011220222015,2.0
8777,510840050262004,14.0
3069,030250400262002,8.0
327,050160650042023,5.0
4685,190222050262009,0.0
5096,320461110252015,188.0
4128,150162990252382,50.0
1858,310450460222029,6.0
1387,170640870251002,285.0
1860,310450460222032,52.0
2898,15016299025241C,52.0
7788,24032002C021002,0.0
2198,350500020261001,2.0
1429,190220200022003,4.0
8615,480721500251009,16.0
7939,300910840261002,2.0
7182,150162990252436,0.0
604,070161490021006,38.0
8739,500821600042001,26.0
4855,280061150022004,0.0
1500,190220890042001,3.0
8500,440630260042005,3.0
2649,510840010261001,9.0
9034,56099365U262009,11.0
4526,190220410022001,0.0
7046,150162990252241,9.0
2923,15016299025275C,165.0
3753,090101160221002,378.0
2172,340491160262001,32.0
1588,190222040262024,1.0
3707,080431190222002,6.0
5295,350500090262001,22.0
3288,050160590041012,57.0
3745,090100040262024,10.0
4950,310450460222034,1.0
1016,150162990252266,10.0
6709,070161700022013,3.0
3050,030030010262001,4.0
4520,190220330022005,6.0
8835,530900860022001,1.0
8788,510840150261001,6.0
3457,060161020021004,0.0
8933,560990860052003,2.0
9011,560992020222016,9.0
3101,040042000262002,0.0
1257,150162990252916,68.0
6997,150162990252169,21.0
8902,540921180242020,71.0
2189,340492200262001,0.0
2875,11012004C262003,19.0
2782,560990170021001,9.0
4616,190222000262009,0.0
2228,350502890041002,49.0
8890,540920100262001,0.0
2763,540920040262002,53.0
1908,310451310222010,78.0
4808,240473080262009,0.0
2527,480723230262005,33.0
7720,200830030262010,6.0
1323,170200150262003,2.0
1200,150162990252739,5.0
8534,440632000262006,0.0
2951,48072150025027C,528.0
3940,150162990252103,44.0
5770,510841860251009,0.0
8856,530907010262003,2.0
7301,150162990252809,4.0
6069,030110030262003,4.0
12,010011720222017,3.0
5414,410570070262007,13.0
2505,480721500252038,290.0
4602,190221810042004,1.0
7528,190220160022001,0.0
871,130950010042001,0.0
6726,080432100261001,1.0
7535,190220330021006,40.0
4268,15016299025275C,80.0
4385,160194280261010,288.0
7518,190220120022004,0.0
35,010750100262010,26.0
2769,540920610032001,4.0
3736,090100040261007,12.0
8866,531020010042001,21.0
8873,531020110262002,0.0
2236,350785350262004,3.0
5620,480723230262002,4.0
230,050160350022002,0.0
4452,170640050262008,37.0
1084,150162990252375,65.0
2604,500821150021001,0.0
2449,470712210262002,3.0
377,060160880022009,0.0
2896,15016299025236C,655.0
8824,530601910262003,31.0
446,060161020021004,29.0
6389,060160870021005,9.0
525,070161275022003,5.0
6902,130584010262002,6.0
136,041012050252054,183.0
7540,190220330022006,0.0
6046,010691170222006,52.0
1054,150162990252330,102.0
8481,440630030031001,2.0
2356,410570130022002,108.0
3352,050160730022001,9.0
3473,060161050022005,4.0
2062,340490410042001,0.0
1447,190220440022001,0.0
7439,170534250042001,0.0
5762,510840140261001,157.0
2529,480723250262005,59.0
4399,160194300262004,1.0
5034,310453020262007,2.0
4339,150162990252923,0.0
2453,470712230261001,50.0
4441,170640030262001,0.0
1394,190220020021001,73.0
4521,190220330022006,3.0
5188,340490600262017,114.0
5463,440630150041006,67.0
6965,150162990252119,9.0
504,070161230022003,2.0
4234,150162990252597,109.0
5311,350501410022004,15.0
7846,260290660252003,1.0
7352,150162990252921,16.0
8467,410570110262024,0.0
7014,150162990252193,0.0
2192,340492200262004,1.0
1488,190220630022002,1.0
6586,070161400022005,9.0
4926,310450460221045,239.0
4051,150162990252269,31.0
1853,310450460222024,25.0
580,070161440022010,113.0
2045,340490060022006,77.0
3279,050160540042029,0.0
2750,531020600261002,6.0
3946,150162990252110,40.0
2526,480723230262004,2.0
8129,330482050262017,0.0
1701,240471150261001,124.0
7506,190220040022010,4.0
2383,440630360022001,22.0
8725,500821150022001,16.0
4305,15016299025285C,25.0
4625,190222010262001,14.0
444,060161010022002,0.0
2789,560990860051002,124.0
1151,150162990252477,7.0
295,050160620042005,0.0
663,070161630022008,26.0
7423,170200150261002,67.0
8366,390550110262001,2.0
8025,310451310222016,12.0
3971,150162990252149,68.0
819,120510200261007,3.0
5127,340490010022002,3.0
7845,260290660251002,164.0
4862,280372230261003,18.0
7881,280063400262005,6.0
6482,060161050021001,13.0
7401,160194270262006,24.0
1772,280371900022001,135.0
3545,070161300021001,24.0
8410,400560090262004,11.0
4141,150162990252399,58.0
606,070161490022005,6.0
8860,530907030262001,10.0
5506,440632000261006,151.0
3325,050160650041002,24.0
4629,190222030261010,51.0
3622,070161490022009,0.0
2165,340491120022006,1.0
191,050160230022001,0.0
8085,320380040262003,0.0
751,090101370022007,110.0
5951,560991590022004,6.0
6019,010010030261001,20.0
5540,470522750262003,8.0
4949,310450460222032,15.0
5699,500821130022001,11.0
61,030250400262002,2.0
181,050160210042003,0.0
4958,310450460222048,0.0
7348,150162990252916,38.0
2470,470980050261006,126.0
4848,280060170042001,0.0
8622,480721500252034,343.0
460,060161050022003,4.0
8256,340490960042006,4.0
1138,150162990252458,1.0
255,050160540042008,0.0
9010,560992020222015,7.0
4644,190222030262016,0.0
4201,150162990252484,11.0
3700,070161940022002,47.0
8697,500820190261002,12.0
6806,110180770261001,35.0
2290,400560070262003,12.0
914,150162990252104,5.0
6927,150162990252066,21.0
8136,330482760262002,0.0
3698,070161720022001,260.0
6830,11087003A262001,1.0
1822,300910370041001,38.0
3780,11012003C262005,1.0
2614,500821180022009,0.0
4350,150162990252945,75.0
3961,150162990252134,24.0
1150,150162990252476,40.0
8298,340491870262009,0.0
6947,150162990252094,5.0
1898,310451290222017,16.0
4107,150162990252357,25.0
2689,510841860252042,163.0
288,050160590042019,0.0
1027,150162990252284,20.0
1195,150162990252714,99.0
6122,041011220222013,12.0
5847,531020110261001,27.0
3959,150162990252132,39.0
4125,150162990252376,0.0
1012,150162990252259,23.0
2039,340490030042002,8.0
1174,150162990252512,10.0
7514,190220110021003,9.0
1563,190222040261001,54.0
5130,340490030042004,29.0
7702,190222050262006,0.0
8737,500821190022001,255.0
3824,120130100261001,25.0
4402,160194320261001,14.0
8895,540920760262003,47.0
8634,480723160042001,1.0
7640,190222000262014,0.0
5927,560990910022001,0.0
2447,470711610042001,14.0
3041,010750040262001,0.0
3402,060160910022001,0.0
4714,200962000262002,3.0
3770,090101970041001,6.0
3119,041011330042001,1.0
3831,120170020262004,17.0
7446,170534380042001,0.0
2212,350501240021001,42.0
2576,500820090262002,53.0
6608,070161450021001,54.0
7,010011720221003,1371.0
8339,350501700042001,1.0
4084,150162990252319,7.0
8949,560990900022001,1.0
5581,480720630022002,6.0
6039,010690060262002,2.0
8058,310453020262009,2.0
2357,410570150031001,27.0
6982,150162990252142,0.0
7129,150162990252366,18.0
4961,310450460222051,18.0
8062,310453030262001,0.0
3276,050160540042026,6.0
7333,150162990252893,0.0
7564,190220480021003,25.0
2918,15016299025268C,11.0
7658,190222030262007,0.0
4149,150162990252409,17.0
3804,110230040261001,7.0
8817,510841860252046,0.0
2873,11012002C262005,1.0
6055,010750120261001,9.0
4864,280372240262004,20.0
8134,330482760261001,29.0
5658,490810410252016,0.0
7566,190220480022002,0.0
2642,500821960262006,7.0
1412,190220110022001,0.0
5323,350502890042002,0.0
1367,170640050262007,5.0
4249,15016299025264C,20.0
2234,350590070262001,10.0
5396,410570010262006,3.0
5376,400560010261001,14.0
8203,340490600262009,18.0
6624,070161480022003,105.0
2378,440630190242001,4.0
5103,330482020261002,0.0
4118,15016299025236C,418.0
4299,150162990252842,7.0
1621,200933480262003,15.0
8984,56099200U262002,23.0
3479,060164010262003,7.0
2031,330942380262002,11.0
1753,260621850261001,35.0
7369,150162990252954,0.0
8875,531020600261002,1.0
720,090100040261003,116.0
1216,150162990252809,0.0
4282,150162990252804,30.0
6732,080891450222004,38.0
1984,320460010261002,11.0
5929,560990920022003,0.0
5912,560990860052006,13.0
7386,150162990253761,0.0
4784,240470660042001,0.0
671,070161690021001,2.0
2142,340490960042004,5.0
1925,310453000262012,45.0
7767,210610380262001,0.0
5803,530900510022001,10.0
7818,240471150262009,51.0
3601,070161460042003,17.0
1441,190220410021009,40.0
8519,440630500262007,3.0
3648,070161570022001,94.0
4352,150162990252951,104.0
7201,150162990252462,66.0
4097,150162990252341,40.0
3819,110870040262006,0.0
313,050160640042012,3.0
8509,440630470042002,9.0
6872,130141860022001,2.0
175,050160150042019,8.0
6898,130581350022006,20.0
2091,340490600262009,92.0
4809,240473080262010,10.0
8433,410570070262004,1.0
2641,500821960261001,12.0
8833,530900850022001,3.0
1248,150162990252901,4.0
4982,310451290222009,1.0
5246,340491090022006,0.0
7890,280372280261002,27.0
461,060161050022004,2.0
3861,130410030042001,0.0
2577,500820190261002,46.0
4472,170640870252003,1.0
1438,190220330022007,1.0
5334,390550020261001,2.0
169,050160150042008,20.0
4666,190222040262018,5.0
2446,470711440032001,0.0
7266,15016299025267C,7.0
1664,211000010262002,28.0
113,041011400041001,85.0
7043,150162990252236,32.0
5155,340490460041001,2.0
495,070161180041004,32.0
8967,560991220022014,1.0
8311,34049900025201C,15.0
2928,15016299025281C,24.0
3394,060160890022006,0.0
6742,080892030261001,5.0
8375,390550610252019,60.0
7683,190222040262015,0.0
6890,130580020032001,0.0
8303,340492200262001,4.0
5642,490810400222011,31.0
1817,300771000262004,34.0
8716,500821040021001,30.0
5535,470521700222008,14.0
7963,310450460222022,11.0
6276,050160540042007,0.0
6007,56099365U262006,1.0
4641,190222030262013,0.0
2482,470981450042001,1.0
7761,210610010261001,39.0
452,060161030022002,1.0
7904,300020010222004,4.0
1685,240320540022004,10.0
4508,190220160021004,27.0
1590,190222040262026,0.0
2293,400560090262004,3.0
1270,150162990252936,59.0
1057,150162990252337,4.0
2137,340490950262008,0.0
878,150162990252051,8.0
8923,56099033C042008,3.0
6728,080432110261001,19.0
2098,340490600262017,125.0
822,120800010262008,34.0
4754,211000020262005,9.0
1098,150162990252395,2.0
3415,060160960022002,1.0
4811,240473080262012,6.0
660,070161630022002,286.0
1619,200930170242001,3.0
1456,190220450022010,0.0
4947,310450460222029,4.0
3527,070161240022005,1.0
2798,560990860052007,18.0
8325,350500950042001,9.0
3528,070161250021001,8.0
6178,041013230261002,3.0
3502,07016113A022002,1.0
5565,470980050261006,65.0
970,150162990252193,12.0
3626,070161500022002,15.0
1327,170200180262005,0.0
5968,560992020221004,52.0
942,150162990252147,57.0
8754,500821890221007,316.0
7574,190220580022004,0.0
9016,56099207U261002,14.0
8462,410570100262024,107.0
555,070161400021003,43.0
3802,110230010262002,8.0
4596,190221800041001,52.0
6488,060161060022001,0.0
7332,150162990252892,21.0
3744,090100040262021,8.0
2280,400421000262008,0.0
7447,170540210262004,0.0
7116,150162990252349,0.0
8652,480723270262006,7.0
6565,070161300022012,11.0
7727,200960060042001,0.0
4645,190222030262017,0.0
1395,190220020022005,3.0
898,150162990252086,24.0
8307,340492200262005,0.0
3947,150162990252112,36.0
1215,150162990252807,81.0
6074,030110080262003,0.0
5814,530900860022005,17.0
432,060160990022014,1.0
7831,240473080262011,4.0
4482,190220040022002,12.0
3778,11012002C262003,4.0
2639,500821890222055,1.0
189,050160210042015,0.0
6026,010011720222006,88.0
6118,041011220222007,38.0
6833,110870040262006,0.0
5161,340490460042006,3.0
6337,050160650041007,9.0
8671,490810400222021,23.0
2897,15016299025240C,215.0
4095,150162990252339,9.0
6775,090101370021003,482.0
2215,350501250022002,24.0
6859,130140010262002,4.0
3189,050160210041002,70.0
3917,150162990252070,22.0
7084,150162990252296,0.0
8242,340490790022002,8.0
6481,060161030022008,0.0
8767,510652130262001,8.0
5169,340490560022002,0.0
6724,080432050262002,11.0
3308,050160620042009,0.0
6889,130580010032001,0.0
3825,120130100262001,0.0
3065,030250100262002,2.0
805,120130250262004,2.0
8245,340490950262003,1.0
7004,150162990252181,40.0
471,070161040022001,0.0
2118,340490730042004,0.0
4490,190220070022002,0.0
4495,190220110021003,25.0
8939,560990860052013,15.0
254,050160540042007,0.0
7619,190221810042001,1.0
739,090101160221002,1759.0
3370,060160840021002,0.0
1288,150162990252967,4.0
890,150162990252070,29.0
6328,050160630022012,0.0
1729,260290020261001,6.0
4048,150162990252266,14.0
4504,190220150022001,5.0
6684,070161620022008,25.0
5128,340490030041006,457.0
4009,150162990252209,5.0
5193,340490670051003,20.0
5748,51084003A262003,9.0
8306,340492200262004,0.0
23,010690270262002,1.0
4834,260343280242004,0.0
5663,490811000262007,0.0
5285,340492200262005,0.0
4896,300391860262010,19.0
8743,500821750022003,23.0
6220,050160250022005,8.0
3420,060160970022001,2.0
2346,410570110262007,7.0
1088,150162990252382,59.0
7422,160194320262001,3.0
7187,150162990252446,0.0
695,080431200222002,0.0
5108,330482050262021,19.0
5939,560991220022005,1.0
4659,190222040262009,6.0
4780,240322010042003,0.0
960,150162990252180,43.0
8485,440630120262002,0.0
4319,150162990252895,10.0
2598,500821050021001,37.0
733,090100040262027,19.0
6233,050160280022003,0.0
2982,56099201U262008,33.0
7752,210281880261001,0.0
2933,15016900025201C,102.0
2345,410570110261006,1193.0
4890,300391300042001,11.0
6940,150162990252086,2.0
8489,440630150042001,2.0
7152,150162990252394,1.0
879,150162990252052,71.0
5427,410570090262013,10.0
3607,070161480021002,68.0
3480,060164010262004,3.0
4380,160194270262004,0.0
680,070161700022012,45.0
340,050160720022002,0.0
5679,500820600261001,7.0
4628,190222030261009,44.0
5379,400560020261001,9.0
6272,050160540042002,5.0
6793,11012002C262005,0.0
4294,150162990252829,15.0
4071,15016299025229C,1.0
3661,070161610021003,316.0
1829,300910840262005,39.0
579,070161440022009,0.0
2510,480721500252052,180.0
2499,480721500252011,68.0
5156,340490460041002,24.0
1265,150162990252926,3.0
6977,150162990252135,11.0
5902,560990840022001,11.0
1972,320380040261002,9.0
4646,190222030262018,0.0
1117,150162990252421,34.0
1398,190220040022002,0.0
3313,050160630022006,1.0
8605,480720630022002,1.0
9,010011720222006,2.0
6991,150162990252155,0.0
7975,310450460222038,15.0
2497,480721500251015,10.0
5560,470980020261002,45.0
4032,150162990252242,11.0
4155,150162990252416,9.0
2336,410570100262001,9.0
8606,480720660022001,4.0
2207,350500790042001,16.0
2974,56099157C042004,0.0
8703,500820600261001,14.0
2315,410570070262003,17.0
77,030680030262003,17.0
833,130140600022001,1.0
6115,041011220221005,691.0
6810,110213020261001,0.0
6402,060160890021002,113.0
6945,150162990252092,6.0
95,040042000262005,0.0
5325,350504250262001,0.0
2043,340490060021001,253.0
4712,200961120042002,0.0
6996,150162990252167,10.0
8166,340490340042006,15.0
1886,310451290221004,136.0
3633,070161520022002,28.0
5153,340490410042003,5.0
7592,190220660021001,29.0
4923,310450460221007,51.0
8728,500821180021013,112.0
2777,540921180242020,186.0
2175,340491160262005,8.0
3820,11087005A262003,3.0
8846,530901080022008,0.0
1976,320380090261002,19.0
5797,530601890261001,13.0
3082,030680020262003,0.0
7599,190220680022004,1.0
8159,340490060022008,2.0
7096,150162990252315,1.0
3832,120170020262007,0.0
1996,320460530022005,0.0
6817,110230030262002,0.0
2060,340490380022002,21.0
6082,030250400262008,1.0
3749,090100070261005,12.0
467,060164010261001,18.0
211,050160280022003,5.0
1646,210281680262004,0.0
7025,150162990252210,0.0
2451,470712220261001,0.0
4664,190222040262016,1.0
3803,110230030262002,0.0
1827,300910660222001,89.0
2871,11012002C261002,24.0
7786,240320010262004,1.0
2170,340491160261003,361.0
5724,500821870262008,22.0
123,041012050252018,31.0
7268,150162990252700,7.0
2178,340491180261003,30.0
494,070161170022005,0.0
4872,280372290261001,26.0
6110,040042000261001,79.0
8030,310453000261008,70.0
3482,070161040022001,0.0
5113,330482760262001,0.0
1020,150162990252270,5.0
56,030110140242001,5.0
7460,170640030262001,0.0
5462,440630120262002,0.0
7809,240470880262004,27.0
8610,48072150025027C,230.0
2771,540921180241020,557.0
8466,410570110262015,20.0
3413,060160960021004,42.0
2989,56099255U261001,31.0
5785,510841860252032,0.0
5314,350501410022009,68.0
6318,050160620042008,0.0
1440,190220340022002,0.0
3430,060160980022002,3.0
1726,240473080262016,9.0
3386,060160880022005,6.0
3937,150162990252100,32.0
5466,440630150042001,11.0
293,050160620042002,0.0
3888,130584010262002,26.0
2483,480720620022001,58.0
7520,190220130022002,0.0
1805,300391860261002,357.0
3465,060161030022005,4.0
3764,090101370022006,130.0
4990,310451310221004,478.0
399,060160940022001,65.0
8900,540921180242013,4.0
1616,200830030262010,0.0
2996,56099365U262001,73.0
1715,240473080262005,12.0
7377,150162990252965,14.0
2100,340490600262021,25.0
6213,050160230022001,0.0
2224,350501850042001,8.0
4623,190222000262018,0.0
6884,130410990042001,0.0
5615,480723210262008,4.0
4162,150162990252426,20.0
8753,500821880222001,16.0
6629,070161490021004,29.0
4895,300391860262009,0.0
1578,190222040262013,4.0
8523,440631580222004,0.0
7536,190220330022001,0.0
904,150162990252093,12.0
7679,190222040262009,30.0
7465,170640050261005,23.0
8712,500820900042003,0.0
3063,030110080262003,0.0
4971,310451010222007,0.0
5566,470980050262005,0.0
482,070161110021001,72.0
6163,041012050252067,123.0
5666,490812000262006,8.0
7149,150162990252389,17.0
1632,200970010262002,47.0
2578,500820190262003,9.0
6174,041013210261001,2.0
145,041012050252085,77.0
4816,260290010261001,0.0
3344,050160680022004,0.0
5201,340490700022004,0.0
5819,530901080021002,47.0
2676,510841860252017,50.0
8838,530900860022005,5.0
6056,010750120262001,8.0
8334,350501410022005,5.0
3467,060161030022007,25.0
6158,041012050252054,144.0
4766,240320010262004,2.0
371,060160870022010,0.0
8246,340490950262005,4.0
6917,150162990252046,2.0
726,090100040262011,92.0
2786,560990810022001,0.0
7943,310450460221005,134.0
2326,410570080262003,0.0
6921,150162990252053,0.0
7711,200330100262004,5.0
582,070161450022002,0.0
2145,340491020041002,0.0
8565,470711440032001,0.0
3573,070161400022005,1.0
1072,150162990252362,8.0
5917,560990860052020,21.0
5147,340490370022003,3.0
1528,190222000262002,0.0
5504,440631650032002,3.0
8507,440630470041006,26.0
728,090100040262017,67.0
7157,150162990252400,1.0
3085,030680030262003,23.0
8772,51084003A262003,0.0
2135,340490950262006,0.0
7065,150162990252268,4.0
2335,410570100261003,383.0
4686,200240010262001,22.0
8917,56099030C042007,0.0
6969,150162990252126,4.0
8405,400560060262001,2.0
7778,211000040261001,13.0
7159,150162990252402,2.0
4058,150162990252281,17.0
7996,310451290221003,90.0
3669,070161620022005,5.0
6607,070161440022010,2.0
1376,170640050262017,16.0
5233,340490960042005,8.0
3738,090100040262008,7.0
2394,440630470042008,11.0
2554,490810400222026,36.0
6131,041011340042001,0.0
2169,340491140022003,10.0
2735,530907030262001,8.0
5749,51084003A262004,7.0
7864,260621850262004,1.0
6398,060160880022005,0.0
2011,330362350261001,42.0
7672,190222040261006,33.0
6388,060160860022001,13.0
6880,130410800021001,33.0
3070,030250400262006,0.0
6140,041012050252014,84.0
6828,110703020262001,0.0
1416,190220130021001,2.0
4225,150162990252516,2.0
7482,170640070261001,3.0
6343,050160650042014,3.0
8440,410570070262011,7.0
755,090101880042001,21.0
3854,130140600022001,0.0
3177,050160150042005,0.0
7303,150162990252811,0.0
1183,150162990252605,7.0
2755,531021400262003,0.0
7743,210280470041002,35.0
5537,470522710262005,0.0
3987,150162990252179,114.0
8668,490810400222016,3.0
961,150162990252181,113.0
8522,440631580222003,0.0
2791,560990860051004,354.0
634,070161570022001,127.0
8698,500820190262003,0.0
5172,340490600261002,484.0
7224,150162990252494,9.0
261,050160540042018,0.0
8044,310453000262021,32.0
6287,050160540042026,0.0
379,060160890021002,75.0
1283,150162990252961,23.0
3146,041012050252051,1036.0
1140,150162990252460,52.0
3591,070161440022005,1.0
6316,050160620042004,1.0
5259,340491140022003,8.0
3259,050160540041019,6.0
6559,070161300021002,16.0
2441,470522200022001,0.0
8914,56099030C042004,0.0
7932,300910170222002,0.0
5046,310453030262009,0.0
893,150162990252079,4.0
532,070161300021002,57.0
900,150162990252088,76.0
3602,070161460042005,11.0
4094,150162990252337,12.0
3930,150162990252092,5.0
542,070161320022002,50.0
1264,150162990252924,13.0
2138,340490960041002,3.0
4773,24032060C042001,24.0
4553,190220580022002,0.0
669,070161680042001,10.0
2870,07016113A022004,7.0
2371,440630150042001,13.0
5945,560991220022016,6.0
8839,530900860022008,4.0
7762,210610010262001,1.0
8390,400070420262001,0.0
1838,310450460222006,4.0
6657,070161550022002,2.0
523,070161270022004,1.0
7572,190220580022002,3.0
6274,050160540042005,1.0
9023,56099255U262001,1.0
3615,070161480022010,143.0
1408,190220100021001,8.0
1103,150162990252401,10.0
4746,210610010262010,2.0
6361,050160710022001,14.0
3645,070161550022004,317.0
4562,190220580022014,1.0
