,rcdts,total_incidents
576,070161440022004,14.0
7171,150162990252417,42.0
2759,540920010262001,1.0
2658,510840100261001,6.0
8558,470521700222004,0.0
1792,280881000262002,0.0
4914,300910430042001,5.0
5512,440632000262008,22.0
6253,050160360021005,4.0
2853,560992020222010,3.0
1485,190220620021001,21.0
4214,150162990252501,4.0
7316,15016299025284C,4.0
8651,480723270262004,4.0
8898,540921180242005,9.0
7426,170200150262005,0.0
4395,160194290262001,3.0
3461,060161020022007,0.0
5170,340490560022003,3.0
5079,320460050261004,92.0
7262,150162990252637,5.0
5451,410570130022002,88.0
3003,56099365U262011,20.0
3822,110870210262001,0.0
8798,510841860252015,0.0
5952,560991610021001,69.0
6796,110150010261002,56.0
4978,310451290222005,0.0
750,090101370022006,205.0
7049,150162990252246,2.0
1782,280372280262005,43.0
3617,070161490021005,31.0
2808,560990890022002,126.0
2814,560990920022004,0.0
4087,150162990252324,24.0
1291,150162990252970,62.0
1230,150162990252862,21.0
107,041011310042001,71.0
5310,350501410021009,142.0
6458,060161000021002,39.0
5467,440630150042002,1.0
5905,560990860051003,154.0
6101,030680220262003,15.0
4135,150162990252391,23.0
8140,330664040262003,4.0
8986,56099201U262003,73.0
1570,190222040262002,30.0
2930,15016299025283C,113.0
6599,070161435022007,0.0
7764,210610010262003,29.0
7836,240473080262016,54.0
4661,190222040262012,14.0
5027,310453010261001,14.0
5870,540920610032001,3.0
2895,15016299025235C,21.0
2942,24032024C042001,0.0
3562,070161350022001,6.0
2486,480720630022002,7.0
2903,15016299025248C,23.0
8358,390550030261001,3.0
4372,15016904025202C,73.0
6908,130950110042001,0.0
8422,410570020262005,0.0
4729,210281680262003,0.0
872,130950100262003,1.0
4217,150162990252504,0.0
1131,150162990252451,2.0
3702,080083080262003,23.0
4606,190221810042009,1.0
3779,11012002C262005,0.0
438,060161000022004,7.0
8445,410570080262009,0.0
2710,530900860022001,3.0
1809,300391960262003,0.0
3286,050160570022008,0.0
1141,150162990252461,5.0
866,130584010261001,0.0
7575,190220580022005,1.0
6962,150162990252112,6.0
5377,400560010262005,0.0
63,030250400262008,2.0
4934,310450460222013,12.0
8414,400560340262001,10.0
5009,310453000262001,28.0
4255,150162990252704,10.0
2924,15016299025276C,45.0
64,030250500261001,8.0
5569,470980050262010,4.0
5858,531021400262005,0.0
1948,310453030261011,166.0
5133,340490060021001,270.0
3741,090100040262013,19.0
1959,310453030262013,8.0
4815,240473080262016,10.0
8719,500821050022002,20.0
8185,340490500041004,171.0
6425,060160960021004,19.0
5839,530907090262002,4.0
4581,190220680022005,20.0
5545,470712210262003,8.0
2467,470980030261004,1.0
985,150162990252215,34.0
2254,390550610252004,382.0
5064,320380060261001,0.0
8095,320382490262001,2.0
7166,150162990252410,8.0
7211,150162990252477,5.0
2920,15016299025272C,70.0
5587,480721500251001,36.0
6351,050160670021002,41.0
1661,210610010262006,2.0
8740,500821600042002,0.0
6405,060160890022003,3.0
756,090101970041001,3.0
2965,56099033C042003,0.0
225,050160340042004,0.0
5218,340490790021001,16.0
7510,190220070022003,0.0
2959,56099030C042003,0.0
1640,210280470042001,3.0
8679,490810410252009,10.0
7443,170534290042004,21.0
588,070161460042005,0.0
1133,150162990252453,12.0
4863,280372230262002,10.0
2360,440630020031001,30.0
6075,030110140242001,7.0
458,060161050021001,19.0
991,150162990252227,4.0
5470,440630150042005,3.0
3438,060160990022006,13.0
2503,480721500252036,243.0
6746,090100030262003,16.0
